"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1989",44.650639,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1991",44.127056,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1993",47.159046,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1994",49.802025,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1995",44.935852,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1997",46.695274,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1998",43.955959,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","1999",42.610085,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.212311,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2001",41.076141,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2002",39.050316,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2003",37.519817,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2004",35.879036,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2005",34.967968,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.289845,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2007",31.816732,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.064018,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2009",28.972523,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.792744,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.922543,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.563389,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28443,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.895836,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.980896,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2016",20.067352,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.012659,
"AUS","EDUADULT","TRY","PC_25_64","A","1989",30.581482,
"AUS","EDUADULT","TRY","PC_25_64","A","1991",31.15881,
"AUS","EDUADULT","TRY","PC_25_64","A","1993",22.469191,
"AUS","EDUADULT","TRY","PC_25_64","A","1994",23.072365,
"AUS","EDUADULT","TRY","PC_25_64","A","1995",24.315445,
"AUS","EDUADULT","TRY","PC_25_64","A","1997",24.30127,
"AUS","EDUADULT","TRY","PC_25_64","A","1998",25.420708,
"AUS","EDUADULT","TRY","PC_25_64","A","1999",26.693399,
"AUS","EDUADULT","TRY","PC_25_64","A","2000",27.475746,
"AUS","EDUADULT","TRY","PC_25_64","A","2001",28.977322,
"AUS","EDUADULT","TRY","PC_25_64","A","2002",30.759785,
"AUS","EDUADULT","TRY","PC_25_64","A","2003",31.314152,
"AUS","EDUADULT","TRY","PC_25_64","A","2004",30.82308,
"AUS","EDUADULT","TRY","PC_25_64","A","2005",31.691153,
"AUS","EDUADULT","TRY","PC_25_64","A","2006",33.022213,
"AUS","EDUADULT","TRY","PC_25_64","A","2007",33.73671,
"AUS","EDUADULT","TRY","PC_25_64","A","2008",36.149986,
"AUS","EDUADULT","TRY","PC_25_64","A","2009",36.881355,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.604309,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.342072,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.282364,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.539928,
"AUS","EDUADULT","TRY","PC_25_64","A","2014",41.901855,
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.888756,
"AUS","EDUADULT","TRY","PC_25_64","A","2016",43.7439,
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1989",24.767881,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1991",24.714134,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1993",30.371763,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1994",27.12561,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1995",30.748701,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1997",29.003454,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1998",30.623333,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","1999",30.696516,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2000",31.311945,
